"用户ID","特征","清洁效率","耗材","对比","时间"
用户ID,用户画像,运动摘要,装备/健康指标,对比/建议,时间
1001,28岁男 | 体重70kg | 偏好跑步 | 城市道路,跑步距离:8km\n配速:5'20\n心率:150\n步频:178,跑鞋寿命:剩余200km\n心率带电量:80%\n肌肉酸痛评分:3/10,优于65%同年龄跑者（配速）,2025-01
1002,25岁女 | 体重55kg | 偏好骑行 | 平路,骑行距离:20km\n均速:22km/h\n心率:140\n踏频:85,自行车链条:剩余300km\n头盔使用:1年\n手部麻木:轻微,骑行效率低于同类10%（风力影响）,2025-01
1003,32岁男 | 体重82kg | 偏好游泳 | 室内池,游泳距离:1500m\n泳姿:自由泳\n划水次数:35/50m\n心率:145,泳镜防雾:已失效\n泳帽弹性:中\n肩部轻微酸痛,游泳成绩前20%同龄组,2025-01
1004,27岁女 | 体重60kg | 偏好瑜伽+跑步 | 公园,瑜伽:60分钟\n跑步:5km\n配速:6'00\n心率:135,瑜伽垫磨损:轻度\n跑鞋寿命:剩余150km\n足弓支撑:良好,柔韧性优于80%女性,2025-01
1005,35岁男 | 体重78kg | 偏好力量训练 | 健身房,深蹲:80kg 3组\n卧推:60kg 3组\n硬拉:100kg,腰带扣:松动\n握力带:磨损\n肌肉恢复:慢,力量增长低于预期（睡眠不足）,2025-01
1006,24岁女 | 体重52kg | 偏好徒步 | 山地,徒步距离:12km\n爬升:500m\n负重:8kg\n耗时:3.5h,登山杖:一支弯曲\n徒步鞋:底部磨损\n膝盖无不适,徒步速度优于70%同经验者,2025-01
1007,40岁男 | 体重85kg | 偏好骑行 | 山路,骑行距离:30km\n均速:18km/h\n爬升:600m\n心率:155,刹车片:剩余30%\n车灯电池:50%\n坐垫不适,爬坡能力优于60%同体重骑手,2025-01
1008,22岁女 | 体重50kg | 偏好跳绳 | 室内,跳绳:3000次\n双摇:50次\n心率:165\n协调性:好,跳绳手柄轴承:异响\n瑜伽垫:防滑下降\n小腿肌肉酸痛,跳绳成绩优于80%同龄女性,2025-01
1009,30岁男 | 体重75kg | 偏好跑步+健身 | 混合,跑步:10km\n配速:5'00\n力量:1h\n体脂:18%,跑鞋寿命:剩余80km\n蛋白粉:剩余1周\n睡眠:7h,综合表现优于65%健身爱好者,2025-01
1010,29岁女 | 体重58kg | 偏好健身操 | 居家,健身操:45分钟\nHIIT:20分钟\n心率:158\n出汗量大,运动内衣:支撑下降\n心率带:读数不稳\n肌肉耐力:好,减脂效率优于50%同类（饮食需调整）,2025-01
1001,28岁男 | 体重70kg | 偏好跑步 | 城市道路,跑步距离:10km\n配速:5'10\n心率:152\n步频:180,跑鞋寿命:剩余160km\n心率带电量:60%\n肌肉酸痛评分:2/10,优于68%同年龄跑者（耐力提升）,2025-02
1002,25岁女 | 体重55kg | 偏好骑行 | 平路,骑行距离:25km\n均速:23km/h\n心率:142\n踏频:88,自行车链条:剩余250km\n头盔使用:1年\n手部麻木:无,骑行效率与同类持平,2025-02
1003,32岁男 | 体重82kg | 偏好游泳 | 室内池,游泳距离:1800m\n泳姿:自由泳\n划水次数:33/50m\n心率:148,泳镜防雾:已更换\n泳帽弹性:好\n肩部无不适,游泳成绩前15%同龄组,2025-02
1004,27岁女 | 体重60kg | 偏好瑜伽+跑步 | 公园,瑜伽:75分钟\n跑步:6km\n配速:5'50\n心率:138,瑜伽垫磨损:中度\n跑鞋寿命:剩余120km\n足弓支撑:良好,柔韧性优于85%女性,2025-02
1005,35岁男 | 体重78kg | 偏好力量训练 | 健身房,深蹲:90kg 3组\n卧推:65kg 3组\n硬拉:110kg,腰带扣:正常\n握力带:磨损\n肌肉恢复:中,力量增长持平预期（压力大）,2025-02
1006,24岁女 | 体重52kg | 偏好徒步 | 山地,徒步距离:15km\n爬升:600m\n负重:8kg\n耗时:4h,登山杖:正常\n徒步鞋:底部磨损加重\n膝盖轻微不适,徒步速度优于75%同经验者,2025-02
1007,40岁男 | 体重85kg | 偏好骑行 | 山路,骑行距离:35km\n均速:19km/h\n爬升:700m\n心率:158,刹车片:剩余20%\n车灯电池:30%\n坐垫不适,爬坡能力优于65%同体重骑手,2025-02
1008,22岁女 | 体重50kg | 偏好跳绳 | 室内,跳绳:3500次\n双摇:60次\n心率:168\n协调性:好,跳绳手柄轴承:更换\n瑜伽垫:防滑正常\n小腿肌肉轻微酸痛,跳绳成绩优于85%同龄女性,2025-02
1009,30岁男 | 体重75kg | 偏好跑步+健身 | 混合,跑步:12km\n配速:4'50\n力量:1h\n体脂:17.5%,跑鞋寿命:剩余50km\n蛋白粉:已购\n睡眠:7.5h,综合表现优于70%健身爱好者,2025-02
1010,29岁女 | 体重58kg | 偏好健身操 | 居家,健身操:50分钟\nHIIT:25分钟\n心率:160\n出汗量大,运动内衣:更换\n心率带:稳定\n肌肉耐力:好,减脂效率优于55%同类（饮食改善）,2025-02
1001,28岁男 | 体重70kg | 偏好跑步 | 城市道路,跑步距离:12km\n配速:5'00\n心率:155\n步频:182,跑鞋寿命:剩余120km\n心率带电量:40%\n肌肉酸痛评分:1/10,优于75%同年龄跑者（速度提升）,2025-03
1002,25岁女 | 体重55kg | 偏好骑行 | 平路,骑行距离:30km\n均速:24km/h\n心率:145\n踏频:90,自行车链条:剩余200km\n头盔使用:1年\n手部麻木:无,骑行效率优于5%同类（进步明显）,2025-03
1003,32岁男 | 体重82kg | 偏好游泳 | 室内池,游泳距离:2000m\n泳姿:自由泳\n划水次数:31/50m\n心率:150,泳镜防雾:好\n泳帽弹性:好\n肩部无不适,游泳成绩前10%同龄组,2025-03
